hh_id,psu,strata,weight,d_cm,d_nutr,d_satt,d_educ,d_elct,d_sani,d_wtr,d_hsg,d_ckfl,d_asst,sex_Male,sex_Female,agec7_0-4,agec7_5-9,agec7_10-14,agec7_15-17,agec7_18-59,agec7_60+,hhsize,region,area
702,7,Chitipa Rural,0.79263663,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1,1.0,1,1,2,1,0,0,0,2,0,3,Chitipa,rural
703,7,Chitipa Rural,0.79263663,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,1.0,0,4,3,1,2,2,0,2,0,7,Chitipa,rural
704,7,Chitipa Rural,0.79263663,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1,1.0,0,5,9,3,1,4,1,1,4,14,Chitipa,rural
705,7,Chitipa Rural,0.79263663,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1,1.0,0,3,3,1,2,1,0,2,0,6,Chitipa,rural
706,7,Chitipa Rural,0.79263663,0.0,,0.0,0.0,1.0,1.0,0.0,0,1.0,0,3,3,1,2,1,0,2,0,6,Chitipa,rural
707,7,Chitipa Rural,0.79263663,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1,1.0,1,3,3,2,1,1,0,2,0,6,Chitipa,rural
710,7,Chitipa Rural,0.79263663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0,2,0,0,0,0,0,2,0,2,Chitipa,rural
711,7,Chitipa Rural,0.79263663,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,1.0,0,3,5,2,1,1,1,3,0,8,Chitipa,rural
712,7,Chitipa Rural,0.79263663,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,1.0,0,6,4,1,0,2,2,4,1,10,Chitipa,rural
713,7,Chitipa Rural,0.79263663,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,1.0,1,4,4,1,0,2,0,4,1,8,Chitipa,rural
714,7,Chitipa Rural,0.79263663,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1,1.0,1,0,1,0,0,0,0,0,1,1,Chitipa,rural
715,7,Chitipa Rural,0.79263663,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1,1.0,0,2,4,0,1,1,1,3,0,6,Chitipa,rural
716,7,Chitipa Rural,0.79263663,,0.0,0.0,0.0,1.0,0.0,0.0,0,1.0,1,3,3,0,0,2,0,4,0,6,Chitipa,rural
717,7,Chitipa Rural,0.79263663,,0.0,0.0,0.0,1.0,1.0,0.0,0,1.0,1,0,1,0,0,0,0,1,0,1,Chitipa,rural
719,7,Chitipa Rural,0.79263663,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,1.0,1,2,1,0,1,0,0,0,2,3,Chitipa,rural
721,7,Chitipa Rural,0.79263663,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1,1.0,1,0,6,2,0,2,1,1,0,6,Chitipa,rural
722,7,Chitipa Rural,0.79263663,,0.0,0.0,0.0,1.0,0.0,1.0,1,1.0,0,4,2,0,1,2,0,3,0,6,Chitipa,rural
723,7,Chitipa Rural,0.79263663,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1,1.0,1,6,3,2,2,0,0,5,0,9,Chitipa,rural
724,7,Chitipa Rural,0.79263663,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1,1.0,0,1,2,1,0,0,0,1,1,3,Chitipa,rural
801,8,Chitipa Rural,0.20637658,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1,1.0,1,1,2,1,0,0,0,2,0,3,Chitipa,rural
802,8,Chitipa Rural,0.20637658,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1,1.0,0,3,3,0,0,1,0,4,1,6,Chitipa,rural
803,8,Chitipa Rural,0.20637658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,0,1,0,0,0,0,0,1,0,1,Chitipa,rural
804,8,Chitipa Rural,0.20637658,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,1.0,0,2,1,0,0,2,0,0,1,3,Chitipa,rural
805,8,Chitipa Rural,0.20637658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0,2,2,1,1,0,0,2,0,4,Chitipa,rural
806,8,Chitipa Rural,0.20637658,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,1.0,1,4,4,0,1,2,1,4,0,8,Chitipa,rural
807,8,Chitipa Rural,0.20637658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,0,2,1,0,0,1,0,2,0,3,Chitipa,rural
808,8,Chitipa Rural,0.20637658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,1,1,0,0,0,0,0,1,0,1,Chitipa,rural
809,8,Chitipa Rural,0.20637658,,0.0,0.0,0.0,1.0,1.0,0.0,1,1.0,1,3,2,0,2,1,0,2,0,5,Chitipa,rural
